dia_semana,data,tipo_assalto_id,bairro,created_at
Wed,2017-11-29,10,Todos os Santos,2017-11-30T11:44:26.575-02:00
Wed,2017-11-29,3,Meier,2017-11-29T12:08:57.542-02:00
Tue,2017-11-28,11,Centro,2017-11-28T13:32:52.378-02:00
Tue,2017-11-28,1,Centro,2017-11-30T09:19:13.857-02:00
Mon,2017-11-27,2,Meier,2017-11-29T00:05:50.124-02:00
Sun,2017-11-26,2,Centro,2017-11-26T16:07:34.383-02:00
Sun,2017-11-26,11,Leblon,2017-11-26T17:57:01.264-02:00
Sat,2017-11-25,9,Quintino Bocaiuva,2017-11-26T21:31:14.594-02:00
Sat,2017-11-25,10,Inhauma,2017-11-26T02:38:17.295-02:00
Fri,2017-11-24,2,Rio de Janeiro,2017-11-25T16:47:35.899-02:00
Fri,2017-11-24,11,Tijuca,2017-11-25T17:49:55.024-02:00
Thu,2017-11-23,3,Gardênia Azul,2017-11-23T18:35:32.355-02:00
Wed,2017-11-22,2,Barra da Tijuca,2017-11-30T14:31:27.652-02:00
Sun,2017-11-19,2,Copacabana,2017-11-19T22:55:20.624-02:00
Sat,2017-11-18,2,Méier,2017-11-18T11:04:49.455-02:00
Sat,2017-11-18,2,Botafogo,2017-11-19T01:51:25.988-02:00
Fri,2017-11-17,2,Cordovil,2017-11-17T09:22:59.591-02:00
Thu,2017-11-16,9,Rua Marquês de Valença,2017-11-18T16:48:52.498-02:00
Thu,2017-11-16,9,Laranjeiras,2017-11-17T07:30:06.673-02:00
Thu,2017-11-16,10,Engenho Novo,2017-11-16T11:31:20.114-02:00
Wed,2017-11-15,2,Tijuca,2017-11-15T02:20:21.781-02:00
Tue,2017-11-14,2,Santa Cruz,2017-11-15T17:14:59.356-02:00
Tue,2017-11-14,2,Tijuca,2017-11-16T15:05:54.856-02:00
Fri,2017-11-10,9,Freguesia (Jacarepaguá),2017-11-10T13:38:54.054-02:00
Wed,2017-11-08,2,Rua Dona Delfina,2017-11-10T22:14:53.597-02:00
Wed,2017-11-08,1,Tijuca,2017-11-19T21:38:07.221-02:00
Wed,2017-11-08,10,Rua Vítor Meireles,2017-11-13T09:42:15.002-02:00
Tue,2017-11-07,2,Pé Pequeno,2017-11-07T08:16:59.359-02:00
Tue,2017-11-07,2,Pé Pequeno,2017-11-07T09:56:47.259-02:00
Tue,2017-11-07,2,Pé Pequeno,2017-11-07T09:48:01.883-02:00
Mon,2017-11-06,3,Paciência,2017-11-30T09:15:44.566-02:00
Mon,2017-11-06,2,Realengo,2017-11-08T21:29:45.401-02:00
Sun,2017-11-05,2,Copacabana,2017-11-08T23:49:11.638-02:00
Sat,2017-11-04,2,Centro,2017-11-04T21:21:33.822-02:00
Sat,2017-11-04,9,Coelho Neto,2017-11-05T01:35:20.717-02:00
Fri,2017-11-03,1,Recreio dos Bandeirantes,2017-11-05T11:50:52.298-02:00
Fri,2017-11-03,2,Bangu,2017-11-03T22:51:24.144-02:00
Fri,2017-11-03,10,Cidade Universitária,2017-11-03T20:16:05.890-02:00
Thu,2017-11-02,1,Irajá,2017-11-12T16:20:00.164-02:00
Thu,2017-11-02,11,Santa Teresa,2017-11-02T22:14:25.954-02:00
Thu,2017-11-02,3,Centro,2017-11-03T12:41:30.832-02:00
Wed,2017-11-01,3,São Cristóvão,2017-11-02T13:22:03.635-02:00
Wed,2017-11-01,2,Rua Félix da Cunha,2017-11-10T19:51:40.588-02:00
Tue,2017-10-31,2,Barra da Tijuca,2017-10-31T10:56:43.774-02:00
Sun,2017-10-29,2,Turiaçu,2017-11-01T22:38:22.535-02:00
Sun,2017-10-29,2,Irajá,2017-10-30T07:49:09.028-02:00
Sun,2017-10-29,1,Paciência,2017-11-30T09:11:27.477-02:00
Sat,2017-10-28,2,Centro,2017-10-28T03:03:45.889-02:00
Sat,2017-10-28,10,Santo Cristo,2017-10-29T11:35:50.272-02:00
Fri,2017-10-27,10,Santa Teresa,2017-10-28T13:59:55.546-02:00
Fri,2017-10-27,1,Centro,2017-11-05T22:43:20.375-02:00
Fri,2017-10-27,1,Maracanã,2017-11-06T12:22:02.825-02:00
Thu,2017-10-26,10,Freguesia (Jacarepaguá),2017-10-26T23:13:42.989-02:00
Thu,2017-10-26,2,Rua Clóvis Bevilaqua,2017-10-27T09:22:47.001-02:00
Wed,2017-10-25,2,Campo Grande,2017-11-30T09:09:31.888-02:00
Wed,2017-10-25,9,Galeão,2017-10-28T17:05:14.742-02:00
Mon,2017-10-23,2,Maré,2017-10-23T23:49:44.389-02:00
Sun,2017-10-22,10,São Cristóvão,2017-10-23T00:55:21.415-02:00
Sat,2017-10-21,9,Cidade Universitária,2017-10-22T12:24:07.792-02:00
Sat,2017-10-21,2,Madureira,2017-10-21T19:19:28.524-02:00
Fri,2017-10-20,3,Piedade,2017-10-26T23:40:25.536-02:00
Fri,2017-10-20,9,Portuguesa,2017-10-26T23:29:07.829-02:00
Fri,2017-10-20,2,Praca da Bandeira,2017-10-21T12:11:40.864-02:00
Fri,2017-10-20,3,Realengo,2017-10-23T20:01:57.359-02:00
Fri,2017-10-20,2,Centro,2017-10-21T10:00:15.588-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:47.097-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:47.577-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:48.497-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:44.659-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:27.022-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:47.302-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:44.752-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:41.870-02:00
Thu,2017-10-19,3,Cosmos,2017-10-19T08:00:16.689-02:00
Thu,2017-10-19,1,Jardim Sulacap,2017-10-19T23:48:35.954-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:44.379-02:00
Thu,2017-10-19,9,Cidade Universitária,2017-10-20T22:31:09.528-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:42.222-02:00
Thu,2017-10-19,2,Rio de Janeiro,2017-10-21T16:37:45.662-02:00
Wed,2017-10-18,3,Rio do Ouro,2017-10-18T23:35:52.870-02:00
Wed,2017-10-18,3,Rua Almirante Alexandrino,2017-10-18T23:36:35.258-02:00
Wed,2017-10-18,2,Bangu,2017-11-02T22:05:01.477-02:00
Tue,2017-10-17,9,Quintino Bocaiuva,2017-10-18T00:21:19.295-02:00
Mon,2017-10-16,2,Anil,2017-10-17T23:58:26.654-02:00
Sun,2017-10-15,2,Santo Cristo,2017-11-06T11:04:23.680-02:00
Sat,2017-10-14,2,Coelho Neto,2017-10-16T12:13:48.546-02:00
Sat,2017-10-14,5,Engenho de Dentro,2017-10-16T15:30:27.038-02:00
Sat,2017-10-14,1,Rio de Janeiro,2017-10-27T16:23:20.657-02:00
Sat,2017-10-14,2,Ipanema,2017-10-15T11:37:08.906-02:00
Sat,2017-10-14,1,Rio de Janeiro,2017-10-14T23:26:19.172-03:00
Fri,2017-10-13,9,Engenho Novo,2017-11-23T19:22:48.634-02:00
Fri,2017-10-13,11,Rio de Janeiro,2017-10-14T12:23:15.291-03:00
