OBJECTID_1,OBJECTID,Codfavela,Nome,Cod_Comple,Complexo,Flag_Ativa,Data_Cadas,Data_saida,Data_Alter,Porte,UPP,ShapeSTArea,ShapeSTLength,Pop_SABREN,Dom_SABREN,Fonte,Bairro_,RP,RA,AP,Shape_ST_1,Shape_ST_2
1,1,1010,Comunidade Novo Lar,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,17702.7836914062,1123.79631004782,274,82,IBGE - Censo Demográfico 2010,0,4.2,24,4,1123.79631004,17702.7851507
2,2,646,Estrada do Pontal (Caité),0,Isolada,1,2002-03-18T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,28135.7475585938,1944.81930740916,138,50,IBGE - Censo Demográfico 2010,0,4.2,24,4,1944.8193074,28135.7465562
3,3,649,Vila Doutor Crespo,0,Isolada,1,2002-03-27T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,2534.09326171875,354.867526476762,220,72,IBGE - Censo Demográfico 2010,0,4.2,24,4,354.86752648,2534.09273381
4,4,371,Restinga,0,Isolada,1,1981-09-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,13986.35546875,640.886420284672,621,195,IBGE - Censo Demográfico 2010,0,4.2,24,4,640.88642028,13986.3562107
5,5,794,"Avenida dos Eucaliptos, 28",0,Isolada,1,2002-12-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,3035.96875,253.905702429992,119,37,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,253.90570243,3035.96808301
6,6,251,Vila Nova (RA - Barra da Tijuca),0,Isolada,1,1995-05-10T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,3029.04296875,402.789276428295,141,41,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,402.78927643,3029.0436726
7,7,663,Servidão D,0,Isolada,1,2002-03-27T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,1033.0068359375,203.1782103747,20,5,IPP com base em IBGE - Censo Demográfico 2010,0,4.2,24,4,203.17821038,1033.00566443
8,8,362,Vista Alegre do Recreio,0,Isolada,1,1995-05-16T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,10830.0385742188,469.189982851697,689,227,IBGE - Censo Demográfico 2010,0,4.2,24,4,469.18998285,10830.0370499
9,9,974,Avenida Guiomar Novaes,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,1215.24560546875,164.415121440073,119,40,IBGE - Censo Demográfico 2010,0,4.2,24,4,164.41512144,1215.2462844
10,10,548,"Rua 8W, 500",0,Isolada,1,1992-02-18T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,19448.0288085938,1350.22653376603,474,150,IBGE - Censo Demográfico 2010,0,4.2,24,4,1350.22653377,19448.0266224
11,11,457,Vila Amizade,2105,Canal das Tachas,1,1991-08-06T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,14238.916015625,656.374300187394,1424,453,IBGE - Censo Demográfico 2010,0,4.2,24,4,656.37430019,14238.9173355
12,12,367,Canal das Tachas,2105,Canal das Tachas,1,1988-09-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,78894.2211914062,2461.68123296792,4562,1545,IBGE - Censo Demográfico 2010,0,4.2,24,4,2461.68123297,78894.2197725
13,13,556,Parque Chico Mendes,0,Isolada,1,1991-02-18T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,75659.1689453125,2938.93613691387,3387,1186,IBGE - Censo Demográfico 2010,0,4.2,24,4,2938.9361369,75659.1669657
14,14,368,Canal do Cortado,0,Isolada,1,1981-09-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,110213.717285156,5164.9034216893,5120,1702,IBGE - Censo Demográfico 2010,0,4.2,24,4,5164.90342167,110213.716669
15,15,799,A.M. Barra América,0,Isolada,1,2004-01-01T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4313.63330078125,284.395857399958,198,57,IBGE - Censo Demográfico 2010,0,4.2,24,4,284.3958574,4313.63317257
16,16,795,Bosque Mont Serrat,0,Isolada,1,2002-12-19T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,42225.0463867188,1351.98010948136,1689,495,IBGE - Censo Demográfico 2010,0,4.2,24,4,1351.98010949,42225.0436263
17,17,458,Santa Luzia,0,Isolada,1,1991-08-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,42080.10546875,3083.58970298633,932,256,IBGE - Censo Demográfico 2010,0,4.2,24,4,3083.589703,42080.102075
18,18,749,Caminho do Rio Pequeno,0,Isolada,1,2003-01-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,21129.4907226562,1170.65703967285,370,101,IBGE - Censo Demográfico 2010,0,4.1,16,4,1170.65703967,21129.4924552
19,19,922,Estrada do Pau da Fome,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,15429.970703125,935.002094125559,91,28,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,935.00209413,15429.970085
20,20,577,Parque da Pedra Branca,0,Isolada,1,1992-10-24T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,75002.26171875,2716.81072610109,378,107,IBGE - Censo Demográfico 2010,0,4.1,16,4,2716.8107261,75002.2630694
21,21,365,Caminho do Bicho,0,Isolada,1,1981-09-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,sem informação,N,105.93212890625,78.3436342168629,0,0, ,0,4.2,24,4,78.34363421,105.93298879
22,22,366,Caminho do Marinho,0,Isolada,1,1988-09-25T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,24510.2978515625,947.109493553646,936,238,IBGE - Censo Demográfico 2010,0,4.2,24,4,947.10949355,24510.2999282
23,23,828,Comunidade Solar da Montanha de Jacarepaguá,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4834.0478515625,305.285467976699,221,76,IBGE - Censo Demográfico 2010,0,4.2,24,4,305.28546798,4834.04733703
24,24,659,Morro do Camorim,0,Isolada,1,2002-03-19T00:00:00.000Z,,2016-11-07T00:00:00.000Z,sem informação,N,39138.986328125,2585.34104223757,0,0, ,0,4.2,24,4,2585.34104223,39138.9897992
25,25,658,São Gonçalo do Amarante,0,Isolada,1,2002-03-19T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,35360.3813476562,1893.23926764394,291,84,IBGE - Censo Demográfico 2010,0,4.1,16,4,1893.23926765,35360.38569
26,26,241,Canal do Arroio Pavuna,0,Isolada,1,1981-09-30T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,3426.10302734375,350.334420284628,69,24,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,350.33442029,3426.10365604
27,27,466,Santa Maura,0,Isolada,1,1991-07-22T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,14465.5541992188,680.439857225662,556,181,IBGE - Censo Demográfico 2010,0,4.1,16,4,680.43985723,14465.5546977
28,28,460,Vila Autódromo,0,Isolada,1,1991-09-10T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,2335.3203125,576.13334769664,1252,356,IBGE - Censo Demográfico 2010,0,4.2,24,4,576.1333477,2335.32057359
29,29,433,Vila Pitimbu,2102,Vila Pitimbu,1,1988-07-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,15930.3002929688,717.688481892278,758,289,IBGE - Censo Demográfico 2010,0,4.1,16,4,717.68848189,15930.30076
30,30,467,Virgolândia,2102,Vila Pitimbu,1,1991-08-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,8959.4453125,649.604443120768,318,109,IBGE - Censo Demográfico 2010,0,4.1,16,4,649.60444312,8959.44569466
31,31,465,Abadianas,2089,Asa Branca,1,1991-08-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,25999.6708984375,1195.27887040697,957,312,IBGE - Censo Demográfico 2010,0,4.1,16,4,1195.27887041,25999.6715151
32,32,464,Asa Branca,2089,Asa Branca,1,1991-09-05T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,76215.0541992188,1732.64125268827,3295,1069,IBGE - Censo Demográfico 2010,0,4.1,16,4,1732.64125269,76215.0536092
33,33,923,Caminho dos Calharins,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,11671.1162109375,535.153734178217,110,27,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,535.15373418,11671.1149597
34,34,915,Caminho da Cachoeira,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,18760.2827148438,1529.92364797801,166,38,IBGE - Censo Demográfico 2010,0,4.1,16,4,1529.92364798,18760.2806516
35,35,924,Caminho Novo da Represa,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,8749.373046875,583.095624324414,74,24,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,583.09562432,8749.37311986
36,36,916,Caminho do Fincão,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,13332.861328125,923.535432357734,76,23,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,923.53543236,13332.8610808
37,37,661,Curicica II,2103,Vila União da Curicica,1,2002-03-26T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,8760.67431640625,482.007898584207,260,86,IBGE - Censo Demográfico 2010,0,4.1,16,4,482.00789859,8760.67377434
38,38,468,Vila Calmete,2103,Vila União da Curicica,1,1991-08-08T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,19535.294921875,1016.55556973589,445,151,IBGE - Censo Demográfico 2010,0,4.1,16,4,1016.55556973,19535.2952161
39,39,869,Vila União (RA - Jacarepaguá),2103,Vila União da Curicica,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,21181.7133789062,685.748048189236,1095,349,IBGE - Censo Demográfico 2010,0,4.1,16,4,685.74804819,21181.7129384
40,40,469,Vila União da Curicica,2103,Vila União da Curicica,1,1995-05-30T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,37044.9448242188,1395.82299517996,1526,463,IBGE - Censo Demográfico 2010,0,4.1,16,4,1395.82299518,37044.9452503
41,41,591,Parque Dois Irmãos,2092,Colônia Juliano Moreira,1,1995-05-30T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,180796.254394531,2827.51275128191,6775,2124,IBGE - Censo Demográfico 2010,0,4.1,16,4,2827.5127513,180796.25266
42,42,429,Curicica,2092,Colônia Juliano Moreira,1,1988-08-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,2587.00341796875,220.029131755309,126,41,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,220.02913176,2587.0033865
43,43,650,Antiga Creche,2092,Colônia Juliano Moreira,1,2002-03-26T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,91531.3955078125,2288.50214124784,3096,1001,IBGE - Censo Demográfico 2010,0,4.1,16,4,2288.50214125,91531.3973989
44,44,434,Comunidade São Francisco de Assis,0,Isolada,1,1988-08-05T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,40960.939453125,2322.29594095936,1698,587,IBGE - Censo Demográfico 2010,0,4.1,16,4,2322.29594096,40960.9381876
45,45,255,Outeiro (RA - Jacarepaguá),0,Isolada,1,1988-09-21T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,34649.6904296875,2034.65127627589,983,302,IBGE - Censo Demográfico 2010,0,4.1,16,4,2034.65127627,34649.6874871
46,46,870,Rua André Rocha,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4128.2451171875,290.03756600096,145,50,IBGE - Censo Demográfico 2010,0,4.1,16,4,290.037566,4128.24673959
47,47,262,Vila Sapê,0,Isolada,1,1981-09-11T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,83952.7934570312,2152.70650731469,4167,1262,IBGE - Censo Demográfico 2010,0,4.1,16,4,2152.70650732,83952.7961496
48,48,590,A.M. do Vale do Curicica,0,Isolada,1,1995-04-04T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,73690.59375,2223.50470205884,1784,561,IBGE - Censo Demográfico 2010,0,4.1,16,4,2223.50470206,73690.5966003
49,49,470,Santa Anastácia,0,Isolada,1,1991-08-22T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,33203.037109375,3458.87597779015,1640,473,IBGE - Censo Demográfico 2010,0,4.1,16,4,3458.87597779,33203.0413517
50,50,254,Nova Aurora,0,Isolada,1,1981-09-10T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,25120.6279296875,776.406959946131,1045,319,IBGE - Censo Demográfico 2010,0,4.1,16,4,776.40695995,25120.6268018
51,51,431,Vila Santa Mônica,0,Isolada,1,1988-08-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,13044.8046875,641.663993277434,371,121,IBGE - Censo Demográfico 2010,0,4.1,16,4,641.66399328,13044.8048681
52,52,475,Vila Clarim,0,Isolada,1,1991-08-13T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4592.03564453125,293.033522121417,251,71,IBGE - Censo Demográfico 2010,0,4.1,16,4,293.03352212,4592.03529588
53,53,473,Vilar São Sebastião,0,Isolada,1,1991-08-05T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,4822.71484375,360.257638454396,219,70,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,360.25763846,4822.71465737
54,54,472,André Rocha,2087,André Rocha,1,1991-08-19T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,25722.71484375,852.058798514815,879,287,IBGE - Censo Demográfico 2010,0,4.1,16,4,852.05879852,25722.7151806
55,55,428,Vila Santa Clara,2087,André Rocha,1,1988-08-12T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,15330.3940429688,680.66246682757,1057,347,IBGE - Censo Demográfico 2010,0,4.1,16,4,680.66246683,15330.3951351
56,56,667,27 de Setembro,0,Isolada,1,2002-03-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,8575.484375,401.770904450793,403,130,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,401.77090445,8575.4845966
57,57,668,"Rua André Rocha, nº 2.630 B",0,Isolada,1,2002-03-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,6723.8369140625,380.232284109341,242,78,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,380.23228411,6723.8366668
58,58,474,Alto Bela Vista,0,Isolada,1,1991-08-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,30045.0444335938,977.15238128779,1485,455,IBGE - Censo Demográfico 2010,0,4.1,16,4,977.15238129,30045.0441683
59,59,666,Vale do Ipê,2092,Colônia Juliano Moreira,1,2002-03-20T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,49076.5385742188,1044.63908460224,1432,498,IBGE - Censo Demográfico 2010,0,4.1,16,4,1044.6390846,49076.5394748
60,60,918,Avenida Sampaio Correa,2092,Colônia Juliano Moreira,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,< 100 domicílios,N,24165.0766601562,1022.17657814583,139,45,IBGE - Censo Demográfico 2010,0,4.1,16,4,1022.17657815,24165.0748317
61,61,926,Parque da Comunidade Vila Arco Íris,2092,Colônia Juliano Moreira,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,18062.6723632812,805.544266042806,404,119,IBGE - Censo Demográfico 2010,0,4.1,16,4,805.54426604,18062.6717185
62,62,759,Vila Arco Íris,2092,Colônia Juliano Moreira,1,2003-02-18T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,149907.825195312,2874.85196422096,1919,588,IBGE - Censo Demográfico 2010,0,4.1,16,4,2874.85196422,149907.827626
63,63,592,Entre Rios,2092,Colônia Juliano Moreira,1,1995-05-31T00:00:00.000Z,,2016-11-07T00:00:00.000Z,> 500 domicílios,N,75047.0903320312,1593.2275032202,1851,563,IBGE - Censo Demográfico 2010,0,4.1,16,4,1593.22750322,75047.0851401
64,64,430,Vila Getúlio Vargas,0,Isolada,1,1988-01-02T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,3089.86083984375,283.946356050136,304,106,IPP com base em IBGE - Censo Demográfico 2010,0,4.1,16,4,283.94635605,3089.86134559
65,65,917,Comunidade Campo da Paz,0,Isolada,1,2009-01-15T00:00:00.000Z,,2016-11-07T00:00:00.000Z,entre 101 e 500 domicílios,N,10668.27734375,698.345430352133,538,151,IBGE - Censo Demográfico 2010,0,4.1,16,4,698.34543035,10668.2768808
